score kills time
-75.61 0 62
-68.72 0 125
-24.65 1 94
-62.06 0 97
71.7 2 139
-71.97 0 100
-30.8 1 139
-63.24 0 141
-82.76 0 157
-75.59 0 146
-24.5 1 99
-19.2 1 109
48.6 2 119
4.23 1 140
-83.51 0 132
20.29 2 92
-83.39 0 136
18.15 1 104
-84.02 0 115
9.68 1 155
-83.63 0 128
-84.17 0 110
-70.65 0 144
110.88 3 195
95.56 3 101
104.05 3 134
36.19 2 122
222.75 5 174
-76.91 0 102
186.21 4 206
84.02 2 133
65.56 2 101
49.92 2 163
-83.42 0 135
11.34 2 127
62.69 2 172
-13.9 1 119
-84.77 0 90
-82.46 0 167
64.11 2 136
191.24 5 207
-79.66 0 177
-13.57 1 130
-15.98 1 133
109.23 3 140
81.34 3 127
33.3 2 109
-67.37 0 170
-84.86 0 87
-68.78 0 123
-1.37 1 120
20.95 1 114
53.87 2 128
4.86 1 161
-77.75 0 74
28.39 2 112
39.53 2 150
-56.52 0 115
-44.62 1 95
68.9 2 129
-82.55 0 164
99.5 3 149
-15.32 1 155
133.66 4 121
-74.56 0 97
56.34 2 127
40.32 2 93
-83.18 0 143
-67.19 0 176
-74.53 0 98
-28.43 1 218
-64.33 0 188
50.79 2 192
78.48 3 115
-48.82 0 205
73.99 2 132
-84.62 0 95
-72.09 0 96
5.95 1 114
45.58 2 185
213.09 5 102
-9.36 1 187
161.24 4 207
-41.7 0 109
136.16 3 122
-67.04 0 181
91.43 3 130
-68.55 0 214
6.25 1 124
-16.34 1 121
190.79 4 192
144.62 3 153
8.54 1 117
-79.77 0 90
7.42 1 163
230.37 5 178
142.06 4 151
-55.77 0 140
-83.78 0 123
-63.87 0 120
-29.5 1 99
146.81 4 226
72.57 2 168
230.22 5 173
170.95 4 114
131.97 4 148
-31.16 0 127
223.74 5 207
-66.49 0 116
5.82 1 193
270.94 5 197
143.63 4 120
-82.13 0 178
62.81 2 176
-69.27 0 190
-4.41 1 102
165.4 4 179
-65.83 0 138
-84.17 0 110
-12.18 1 93
-11.62 1 195
227.48 5 165
-11.61 1 112
174.53 4 150
23.09 1 102
121.0 3 199
166.42 4 213
177.36 4 161
81.55 2 134
187.46 4 81
130.95 4 114
226.76 5 141
288.68 6 205
47.72 2 173
131.7 3 139
148.45 4 114
-77.7 0 159
451.45 9 214
247.84 6 177
-5.44 0 151
98.84 3 127
272.45 6 164
160.65 4 104
194.29 4 142
75.34 2 177
241.07 5 118
33.12 1 103
211.52 5 133
168.24 4 107
252.74 5 257
30.41 1 96
195.67 5 188
174.2 4 139
-70.04 0 81
209.32 5 143
151.57 4 218
175.91 4 196
230.54 5 267
187.54 5 167
-34.32 0 105
71.79 3 142
143.78 4 125
-82.31 0 172
-69.81 0 172
-80.9 0 219
214.07 5 218
208.59 5 202
91.13 2 120
-31.19 1 126
-56.73 0 108
38.66 1 121
-70.65 0 144
379.61 7 236
178.72 4 123
149.53 4 150
88.3 3 109
173.3 4 109
15.95 1 114
137.9 3 179
267.53 5 250
207.69 4 172
227.99 5 182
196.25 4 124
332.47 6 248
26.67 1 138
240.52 5 183
191.93 4 230
112.03 3 150
237.84 5 177
245.6 6 269
394.97 8 248
66.55 2 134
87.54 3 167
125.34 4 177
115.76 3 191
111.37 3 128
213.13 5 270
290.16 6 171
273.8 6 209
320.49 7 182
133.17 3 188
61.49 2 132
-28.09 1 146
166.76 4 141
25.92 2 113
178.43 4 280
-67.24 0 91
-3.9 1 119
327.36 7 161
-70.05 0 164
-72.42 0 85
44.23 2 140
186.64 4 137
36.19 2 122
210.93 5 280
206.4 4 129
17.9 2 179
63.48 2 115
310.4 6 179
134.38 3 145
66.7 1 139
-21.97 1 100
-71.91 0 102
86.73 3 140
28.9 2 129
265.71 6 356
306.11 7 286
-81.26 0 207
48.02 2 183
107.51 3 166
-40.5 0 149
219.4 5 229
199.25 5 224
-83.03 0 148
-0.57 1 230
26.55 1 134
-79.95 0 84
-82.7 0 159
188.99 4 132
175.94 4 197
175.07 4 168
113.75 3 124
75.64 2 187
250.06 5 251
132.69 4 172
279.01 6 216
115.64 3 187
-81.53 0 198
528.37 10 278
-72.88 0 153
173.97 3 298
111.04 4 117
433.13 9 270
414.55 8 234
33.39 2 112
119.62 3 153
11.13 1 120
234.25 5 224
-73.76 0 207
68.17 3 188
136.33 3 210
307.83 7 260
-13.0 1 149
167.26 5 241
158.87 4 128
257.81 6 176
95.98 3 115
343.22 7 273
29.5 1 149
221.33 5 210
163.23 4 190
-39.41 0 102
268.5 6 199
151.13 4 120
260.76 6 191
260.34 6 177
124.91 3 246
22.39 1 162
243.59 5 202
228.29 5 192
40.46 2 181
257.98 6 265
187.99 5 183
152.3 4 159
630.15 12 254
151.61 4 136
118.93 3 130
368.83 7 210
265.85 6 194
162.63 3 170
462.1 9 319
158.53 4 200
140.85 4 194
179.46 4 231
89.95 2 164
249.25 5 224
278.83 5 210
145.37 4 178
461.2 9 289
262.26 6 241
136.28 3 125
316.21 7 206
206.12 5 203
49.95 2 164
361.9 7 229
331.36 7 211
-83.87 0 120
156.96 4 231
183.84 4 127
196.73 4 140
210.94 5 197
57.68 2 255
106.06 3 202
381.05 8 284
43.56 2 201
197.1 5 319
205.0 5 249
371.69 8 222
-43.76 0 207
217.0 5 149
227.72 5 173
242.62 5 253
228.53 4 200
139.98 3 165
132.24 4 157
195.28 5 175
8.75 1 124
-66.62 0 195
-24.62 1 95
190.16 5 171
21.1 1 119
202.66 5 171
221.18 5 205
-23.18 1 143
255.31 5 176
-74.48 0 183
31.52 1 133
192.06 5 151
303.71 6 206
72.27 2 158
260.45 5 265
221.32 5 293
229.48 5 315
181.39 4 212
140.01 4 166
289.28 6 225
-84.23 0 108
175.94 4 197
142.03 3 150
-62.24 0 91
205.19 5 172
284.25 6 224
71.61 3 136
55.95 2 114
191.75 5 224
222.57 5 168
-43.63 0 128
112.2 3 239
7.12 1 153
57.36 2 161
127.47 3 248
296.79 7 143
257.59 6 252
181.91 4 146
222.93 5 180
131.76 3 141
169.62 4 153
218.44 5 197
145.82 3 194
318.17 7 188
243.02 6 183
187.27 4 158
-17.0 1 99
341.68 8 305
111.34 3 127
78.63 2 120
205.28 4 175
156.19 4 122
206.13 5 120
242.99 5 182
112.9 2 179
131.52 4 133
175.1 4 169
271.36 6 211
113.08 3 185
61.28 2 125
71.22 2 123
431.27 9 208
11.31 1 126
439.1 9 219
318.86 6 211
168.02 4 183
318.2 7 189
425.63 8 270
196.82 4 143
167.33 4 160
223.26 5 191
161.7 4 139
320.67 7 188
345.67 7 188
380.18 7 255
390.45 8 264
208.83 5 210
-43.72 0 125
156.49 4 132
194.32 4 143
129.65 4 154
180.16 4 171
323.83 7 210
209.56 4 151
195.21 5 256
167.51 4 166
110.77 3 108
259.01 6 216
172.3 4 159
-83.18 0 143
263.59 6 202
106.73 2 140
83.27 2 108
8.69 1 123
273.44 6 197
169.56 4 151
212.45 5 164
354.16 7 221
98.48 3 115
243.5 5 199
119.74 3 157
166.55 4 134
-84.89 0 86
498.46 10 281
144.38 4 145
141.27 4 208
323.14 6 187
252.99 5 182
346.12 7 203
103.81 2 126
308.77 6 208
264.55 6 234
239.86 5 411
-11.41 1 202
-82.84 0 71
-64.05 0 114
154.5 3 149
273.32 6 193
198.03 5 351
204.62 5 153
152.39 4 162
220.37 5 178
336.54 6 217
212.9 4 179
64.2 2 139
182.06 4 151
280.49 6 182
106.55 3 134
-7.91 1 152
166.82 4 143
244.69 5 322
215.0 5 249
151.33 4 210
289.34 6 227
116.97 3 148
292.24 7 157
-2.24 1 91
157.18 4 155
185.73 4 190
205.16 4 171
214.92 5 163
-83.99 0 116
137.42 3 163
375.55 8 184
372.14 8 237
343.98 7 215
336.51 6 216
69.26 2 141
350.1 7 169
114.14 3 137
248.77 5 208
28.05 1 184
201.0 5 199
284.74 6 157
194.98 4 165
147.81 3 177
34.29 2 142
227.17 5 238
428.37 7 278
178.96 4 131
192.62 5 253
210.13 5 170
12.88 1 95
11.79 1 142
143.41 3 196
258.35 5 194
174.35 4 144
194.2 4 139
-84.77 0 90
366.06 7 201
287.78 6 175
-84.35 0 104
510.12 10 253
257.09 6 152
207.9 5 179
105.56 3 101
-84.59 0 96
164.26 4 141
186.58 4 135
373.29 8 192
285.79 6 192
355.6 8 269
184.74 4 157
393.7 9 289
365.69 7 272
193.86 5 211
-71.91 0 102
599.84 12 327
-82.37 0 170
199.35 5 144
188.41 4 196
344.49 7 232
220.39 5 262
172.57 4 168
42.87 2 178
98.84 2 127
126.67 3 138
250.28 5 176
266.4 6 129
161.63 4 220
280.06 5 251
103.98 3 215
-15.44 1 151
343.92 7 213
342.78 7 175
210.22 5 173
283.05 6 184
273.13 6 270
138.54 3 117
223.38 4 195
269.07 6 218
372.8 7 259
225.46 5 181
264.8 5 159
-60.92 0 135
-19.2 1 109
63.57 2 118
262.11 5 236
129.23 3 140
374.01 8 216
233.08 5 185
41.76 1 141
220.43 5 180
233.29 5 192
74.41 2 146
141.58 3 135
141.4 4 129
200.49 4 182
162.69 3 172
208.28 5 275
209.41 4 146
-72.91 0 152
204.38 5 145
333.02 6 183
58.5 2 199
